id,created_at,text,favorite_count,retweet_count,truncated
1.25564E+18,Wed Apr 29 23:41:40 +0000 2020,"RT @SuMoh7: ⚡️🍏Self-care During the COVID-19 Pandemic -An Evidence-based Approach
by Dr. Harlin @ https://t.co/QquJLdyJ0E
https://t.co/HMhY…",0,11,FALSE
1.25564E+18,Wed Apr 29 23:41:39 +0000 2020,"RT @MissCandio: Don't know about you guys, but I'm NOT OK w/ being spied on by drones!

I'm not OK w/ #Clintons ""tracing"" my every move!

I…",0,24,FALSE
1.25564E+18,Wed Apr 29 23:41:33 +0000 2020,RT @SeanOnTV: Do you agree with @dougducey extending the #StayAtHome order + travel restrictions until May 15th? #azfamily #COVID19,0,7,FALSE
1.25564E+18,Wed Apr 29 23:41:31 +0000 2020,"RT @MiaStJohnBoxer: My #stayathome day - Did my radio show on @VoiceAmVariety from home, ran 3 miles, meditated, laid out in the sun ☀️ pra…",0,4,FALSE
1.25564E+18,Wed Apr 29 23:41:24 +0000 2020,"@jemelehill Me too, but put on a damn mask. The numbers are terrible in Detroit. #stayathome #WearAMask",0,0,FALSE
1.25564E+18,Wed Apr 29 23:41:19 +0000 2020,"RT @BamaiyiDanladi: If U Like This This Painting, Help Me Retweet 
#Please #SaySafe #CoronaVirusIsReal.
#CBN #Ncdc #Covid19 #Stayathome. ht…",0,220,FALSE
1.25564E+18,Wed Apr 29 23:41:16 +0000 2020,My instergram @John_Daddyy #TemptationIsland #wirbleibenzuhause #StayAtHome https://t.co/vmvMEP7HxU,0,0,FALSE
1.25564E+18,Wed Apr 29 23:41:16 +0000 2020,There may be light at the end of the tunnel. We may actually be able to move to a new campground on May 5th. WooHoo… https://t.co/kvDG4BTFQn,0,0,TRUE
1.25564E+18,Wed Apr 29 23:41:12 +0000 2020,"RT @KNSMOH: #COVID19KN Update as at 12:05am 30th April 2020
•24 New #COVID19KN cases confirmed.
•Total confirmed cases in @KanostateNg are…",0,63,FALSE
1.25564E+18,Wed Apr 29 23:40:57 +0000 2020,"RT @BamaiyiDanladi: If U Like This This Painting, Help Me Retweet 
#Please #SaySafe #CoronaVirusIsReal.
#CBN #Ncdc #Covid19 #Stayathome. ht…",0,220,FALSE
1.25564E+18,Wed Apr 29 23:40:55 +0000 2020,RT @communitybirth1: Two #homebirths with #communitybirth1 #bcmidwives in the last 24 hours. Helping low risk families #StayAtHome and #Phy…,0,1,FALSE
1.25564E+18,Wed Apr 29 23:40:49 +0000 2020,RT @blackburndarwen: Here’s our Director of Public Health Dominic Harrison talking to BBC North West Tonight @BWDDPH about contact tracing…,0,14,FALSE
1.25564E+18,Wed Apr 29 23:40:49 +0000 2020,While you're under #StayAtHome house arrest here's a video of some white dude rapping several of your favorite Dr.… https://t.co/5KDiZKrZz4,0,0,TRUE
1.25564E+18,Wed Apr 29 23:40:45 +0000 2020,"RT @PREVNet: As we continue to #StayAtHome, children and youth are now socializing with their peers almost entirely online. Our #CyberBully…",0,8,FALSE
1.25564E+18,Wed Apr 29 23:40:44 +0000 2020,"RT @BamaiyiDanladi: If U Like This This Painting, Help Me Retweet 
#Please #SaySafe #CoronaVirusIsReal.
#CBN #Ncdc #Covid19 #Stayathome. ht…",0,220,FALSE
1.25564E+18,Wed Apr 29 23:40:38 +0000 2020,"70% OFF WITH CODE : W8NNETIP
#LightningDeal #slickdeals #coupon #discount #code #dealsplus #amazon  #sale… https://t.co/b0c7TKyDK8",1,0,TRUE
1.25564E+18,Wed Apr 29 23:40:36 +0000 2020,"Read the thread, and please #StayAtHome.

If you haven't heard it yet listen to this https://t.co/3yZg19vm5C

All a… https://t.co/sBLGZaFCmT",0,0,TRUE
1.25564E+18,Wed Apr 29 23:40:35 +0000 2020,"RT @EpochTimes: #Nevada's @GovSisolak will extend his #StayAtHome order, which was set to expire on Thursday.

Sisolak said he believes the…",0,15,FALSE
1.25564E+18,Wed Apr 29 23:40:32 +0000 2020,RT @4bruce7: Thought of The Day. #StaySafe #LookAfterEachOther #StayAtHome https://t.co/9jbXR1wlUF,0,28,FALSE
1.25564E+18,Wed Apr 29 23:40:27 +0000 2020,Lol another #HandstandChallenge #handstand #stayathome #workingout #handstandtwirl https://t.co/9tIcsF3QDN,0,0,FALSE
1.25564E+18,Wed Apr 29 23:40:26 +0000 2020,"RT @hamzamorecross: A per of shoes now on the refuges dump was once worn to a wedding.I love Africa.More fire✌
@Blakkrasta 
@hamzamorecross…",0,5,FALSE
1.25564E+18,Wed Apr 29 23:40:24 +0000 2020,"RT @GUGUDANGLOBAL_: [NOTICE] Gugudan Global will be a holding a #STAYATHOME Gugudan Concert today on Wednesday April 29th, 2020 at 12 PM KS…",0,63,FALSE
1.25564E+18,Wed Apr 29 23:40:06 +0000 2020,"RT @azcentral: #BREAKING Gov. @dougducey has extended Arizona's statewide #StayAtHome order through May 15 with modifications.
https://t.co…",0,28,FALSE
1.25564E+18,Wed Apr 29 23:40:04 +0000 2020,"RT @CERN: 🔴Final episode of the ""Higgs Boson's Discovery Explained"" premieres today at 9PM (Geneva Time) on YouTube. #StayAtHome, join us l…",0,141,FALSE
1.25564E+18,Wed Apr 29 23:40:00 +0000 2020,"RT @womensart1: #StayAtHome stay well and save lives.

Illustration from 'The Tale of Mrs. Tiggy-Winkle' 1905 by Beatrix Potter #womensart…",0,152,FALSE
1.25564E+18,Wed Apr 29 23:39:58 +0000 2020,"RT @BamaiyiDanladi: If U Like This This Painting, Help Me Retweet 
#Please #SaySafe #CoronaVirusIsReal.
#CBN #Ncdc #Covid19 #Stayathome. ht…",0,220,FALSE
1.25564E+18,Wed Apr 29 23:39:56 +0000 2020,"RT @BamaiyiDanladi: If U Like This This Painting, Help Me Retweet 
#Please #SaySafe #CoronaVirusIsReal.
#CBN #Ncdc #Covid19 #Stayathome. ht…",0,220,FALSE
1.25564E+18,Wed Apr 29 23:39:55 +0000 2020,RT @SeanOnTV: Do you agree with @dougducey extending the #StayAtHome order + travel restrictions until May 15th? #azfamily #COVID19,0,7,FALSE
1.25564E+18,Wed Apr 29 23:39:42 +0000 2020,"RT @jenazy612: It really doesn’t matter who you vote for. The decision has already been made. 
Let’s ALL just #StayAtHome &amp; see who they pi…",0,2,FALSE
1.25564E+18,Wed Apr 29 23:39:41 +0000 2020,"RT @Erixnxx: Avengers End Game (vs) Virus Corona Scene 🔥

#KIMJONGUNDEAD #pakgirl #COVIDー19 #StayAtHome #Episode10 #Lonte #taeten #Avengers…",0,309,FALSE
1.25564E+18,Wed Apr 29 23:39:34 +0000 2020,"RT @Bdecker14: No ice... No excuses! 🏒🥅
#stayathome 
@adidashockey @CCMHockey https://t.co/eRJUssK3nS",0,6,FALSE
1.25564E+18,Wed Apr 29 23:39:30 +0000 2020,RT @CorlessBarfield: Social distancing is not just for the birds. Stay tuned for news on the philanthropic measures @CorlessBarfield is tak…,0,2,FALSE
1.25564E+18,Wed Apr 29 23:39:30 +0000 2020,RT @3Thumbz: We got NEW prints up baby!! Use code “stayathome” for 20% off! https://t.co/19S3dZJwL4 https://t.co/oSLsqgHZtr,0,1,FALSE
1.25564E+18,Wed Apr 29 23:39:30 +0000 2020,"RT @KNSMOH: #COVID19KN Update as at 12:05am 30th April 2020
•24 New #COVID19KN cases confirmed.
•Total confirmed cases in @KanostateNg are…",0,63,FALSE
1.25564E+18,Wed Apr 29 23:39:27 +0000 2020,RT @abc15: #BREAKING: Arizona will extend #StayAtHome order with modifications to May 15. LIVE VIDEO: https://t.co/oBdgSFLiHY #abc15 https:…,0,87,FALSE
1.25564E+18,Wed Apr 29 23:39:20 +0000 2020,"RT @LaLigaEN: 🏆 Another year, another celebration... 🏆

#OnThisDay 2 years ago, @FCBarcelona won their 25th #LaLigaSantander title, as Mess…",0,324,FALSE
1.25564E+18,Wed Apr 29 23:39:19 +0000 2020,"RT @LuchaCentralCom: #PHOTO 📸

Today @PENTAELZEROM &amp; @ReyFenixMx celebrate 14 years as professional luchadores. Congratulations. 🎉

#LuchaC…",0,4,FALSE
1.25564E+18,Wed Apr 29 23:39:11 +0000 2020,"RT @LuchaCentralCom: #PHOTO 📸

Today @PENTAELZEROM &amp; @ReyFenixMx celebrate 14 years as professional luchadores. Congratulations. 🎉

#LuchaC…",0,4,FALSE
1.25564E+18,Wed Apr 29 23:39:09 +0000 2020,"#Covid19.  Happy Dade, Broward, &amp; Palm Beach counties are excluded!  #StayatHome https://t.co/v21kRNPlcC",0,0,FALSE
1.25564E+18,Wed Apr 29 23:39:08 +0000 2020,"Hi all, I'm inviting you all to join CashGem, a site that lets you earn money with social media. I just earned $36… https://t.co/CZPWGaxbfK",0,0,TRUE
1.25564E+18,Wed Apr 29 23:39:07 +0000 2020,"RT @COREuWaterloo: Just a little reminder to keep special care, especially now, when it comes to cleaning contact lenses. #contactlens #car…",0,4,FALSE
1.25564E+18,Wed Apr 29 23:39:00 +0000 2020,RT @Bret_Buganski: This #stayathome period taught me you can a lot more with less with a workout. You don’t need weights or a gym. There’s…,0,1,FALSE
1.25564E+18,Wed Apr 29 23:38:58 +0000 2020,"RT @BamaiyiDanladi: If U Like This This Painting, Help Me Retweet 
#Please #SaySafe #CoronaVirusIsReal.
#CBN #Ncdc #Covid19 #Stayathome. ht…",0,220,FALSE
1.25564E+18,Wed Apr 29 23:38:57 +0000 2020,"RT @KNSMOH: #COVID19KN Update as at 12:05am 30th April 2020
•24 New #COVID19KN cases confirmed.
•Total confirmed cases in @KanostateNg are…",0,63,FALSE
1.25564E+18,Wed Apr 29 23:38:52 +0000 2020,"RT @LaLigaEN: 🏆 Another year, another celebration... 🏆

#OnThisDay 2 years ago, @FCBarcelona won their 25th #LaLigaSantander title, as Mess…",0,324,FALSE
1.25564E+18,Wed Apr 29 23:38:50 +0000 2020,"morning guys..have a bless day to us keep safe
#stayathome https://t.co/Sxk9iFe3xI",0,0,FALSE
1.25564E+18,Wed Apr 29 23:38:50 +0000 2020,"RT @KNSMOH: #COVID19KN Update as at 12:05am 30th April 2020
•24 New #COVID19KN cases confirmed.
•Total confirmed cases in @KanostateNg are…",0,63,FALSE
1.25564E+18,Wed Apr 29 23:38:45 +0000 2020,"RT @BamaiyiDanladi: If U Like This This Painting, Help Me Retweet 
#Please #SaySafe #CoronaVirusIsReal.
#CBN #Ncdc #Covid19 #Stayathome. ht…",0,220,FALSE
1.25564E+18,Wed Apr 29 23:38:43 +0000 2020,"RT @MissCandio: Don't know about you guys, but I'm NOT OK w/ being spied on by drones!

I'm not OK w/ #Clintons ""tracing"" my every move!

I…",0,24,FALSE
